vuz,obsh,info,rating
ИрГУПС,True,,
Иркутский ГАУ,True,,
КАГМС,False,,
КГАВМ им. Н.Э. Баумана,True,,
КГАУ,True,,
КГМТУ,True,,
КГМУ,True,,
КГМУ,True,,
КГПУ им. В.П. Астафьева,True,,
КГТА им. В.А. Дегтярева,True,,
КГТУ,True,,
КГУ,True,,
КГУ,True,,
КГУ им. К.Э. Циолковского,True,,
КГУФКСТ,True,,
КГЭУ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов
",8.75
КНИТУ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов",
КНИТУ-КАИ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов
Обеспеченность общежитиями в КНИТУ-КАИ для иногородних студентов – 100%!
Для комфортного проживания КНИТУ-КАИ предлагает иногородним студентам разместиться в одном из семи студенческих общежитиях вуза. Для проживания студентов представлены двух-, трех-, четырехместные комнаты. Важно отметить, что студенческие дома находятся в непосредственной близости к учебным зданиям и социальным объектам университета.
В общежитиях КНИТУ-КАИ созданы необходимые условия для полноценного проживания, учебы, культурного отдыха и занятий спортом. Общежития оборудованы читальными и компьютерными залами, комнатами отдыха с теннисными столами, а также тренажерными залами. Есть прачечные комнаты со стиральными машинами. На базе общежития № 2 функционирует профилакторий, оснащенный современным медицинским оборудованием.
Охрану общественного порядка в общежитии осуществляет Студенческая служба безопасности и частное охранное предприятие.
Стоит отметить, что студент на протяжении всего периода обучения обеспечивается жильем при соблюдении правил проживания. Администрация студенческого городка проводит постоянный мониторинг. Кроме того, в каждом общежитии есть свои студенческие советы, которые помогают решать жилищно-бытовые вопросы иногородних студентов, организуют культурно-массовые и спортивные мероприятия.",
КФУ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов
",6.56
КФУ им. Вернадского,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов",
КЧГУ им. У.Д. Алиева,True,,
Кабардино-Балкарский ГАУ,True,,
КалмГУ,True,,
КамГУ им. Витуса Беринга,True,,
КамчатГТУ,True,,
КемГМУ,True,,
КемГУ,True,,
Кировский ГМУ,True,,
КнАГУ,True,,
Княгининский университет,True,,
Костромская ГСХА,True,,
КрасГАУ,True,,
КрасГМУ,True,,
КубГАУ,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов
",5.43
КубГМУ,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов",
КубГТУ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов",
КубГУ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов",
КузГТУ им. Т.Ф. Горбачева,True,,
Кузбасский ГАУ,True,,
Курганская ГСХА им. Т.С. Мальцева,True,,
Курский ГАУ им. И.И. Иванова,True,,
ЛГПУ,True,,
ЛГТУ,True,,
ЛГУ им. А.С. Пушкина,True,"
",4.4
ЛИ им. А.М. Горького,True,,
МАДИ,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов
",8.33
МАИ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов
",7.14
МАРХИ,True,,
МАУ,True,,
МГАВМиБ-МВА имени К.И. Скрябина,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов",
МГИМО,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов",
МГИМО Одинцово,True,,
МГЛУ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов
",4.5
МГМСУ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов",
МГМУ им. Сеченова,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов

Первый МГМУ им. И.М. Сеченова располагает четырьмя студенческими общежитиями:
№ 1 – находится на ул. Малая Пироговская, д.16
№ 3 – находится на ул. 11-я Парковая, д. 5
№ 4 – находится на ул. 11-я Парковая, д. 7
№ 5 – находится на ул. Азовская, д. 15
К сожалению, из-за проведения капитального ремонта общежития № 1, возможности по размещению обучающихся в общежития Университета крайне ограничены. Не все обучающиеся принятые по целевому набору в 2015 году смогут разместиться в студенческих общежитиях Университета.
Университетом заключены договоры с некоторыми Вузами г. Москвы на размещение обучающихся Первого МГМУ в договорных общежитиях других Вузов.",9.14
МГОТУ им. А.А. Леонова,True,,
МГППУ,False,,
МГПУ,False,,
МГПУ им. М.Е. Евсевьева,True,,
МГРИ,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов",
МГТУ,True,,
МГТУ,True,,
МГТУ «СТАНКИН»,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов
",5.44
МГТУ ГА,True,,
МГТУ им. Баумана,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов
",6.27
МГТУ им. Г.И. Носова,True,,
МГУ им. Ломоносова,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов
",7.05
МГУ им. Ломоносова в Севастополе,True,,
МГУ им. адм. Г.И. Невельского,True,,
МГУ имени Н.П. Огарева,True,,
МГУТУ им. К.Г. Разумовского,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов",
МГЮА им. Кутафина,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов
",5.85
МИИГАиК,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов
",5.82
МИЭТ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов

Студгородок МИЭТа расположен в Зеленограде вне основного вузовского комплекса в лесном массиве. От общежития до университета 25 минут пешком или 15 минут на автобусе.
На территории Студгородка расположены: библиотека, читальный зал, столовая,центр компьютерного обучения, аудитория для самоподготовки студентов (работает круглосуточно), гостевые комнаты для проживания родителей, спортзал, танцевальная студия, клуб.
В общежитии имеются секции тяжелой атлетики, восточных единоборств, настольного тенниса. Футбольная, волейбольная и баскетбольная команды студгородка играют в первой и высшей лигах города Зеленограда. Существует и хоккейная команда.
В Студгородке с 1995 года функционирует и развивается локальная компьютерная сеть. За эти годы сеть из технического новшества превратилась в настоящее студенческое сообщество, в которое сегодня входит более 1500 человек и объединяет все пять корпусов общежития.
Студгородок состоит из 4-х пятиэтажных и одного 11-этажного зданий, объединённых в единый комплекс с одной общей проходной и может вместить более 2000 студентов. В пятиэтажных зданиях – коридорная система проживания. На этаже 36 комнат, рассчитанных на 2, 3 или 4 человека и помещения санитарно-гигиенического назначения. В 11-этажном здании система проживания блочного типа.",6.0
МПГУ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов

У МПГУ 7 общежитий, где размещаются все иногородние студенты. Большое количество общежитий - одно из важных преимуществ МПГУ.",6.27
МТУСИ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов

Пункт общежитие:
МТУСИ предлагает студентам 3 общежития:
1)	 Москва, ул. Авиамоторная, д. 8а, стр. 7
2)	Москва, 2-й Кабельный пр-д, д. 4
3)	Москва, ул. Тухачевского, д. 18
Общежитие предоставляется на конкурсном отборе. Иногородним студентам, проживающим на расстоянии от 60 км. от Москвы и далее, зачисленным на первый курс очной формы на бюджетные места и набравшим 260 баллов и выше, гарантировано предоставление мест в общежитии. Иногородние студенты получают общежитие повышенной комфортности (призёры ВСОШ с одноместным размещением, призёры олимпиад из перечня Минобрнауки, с двухместным размещением).",5.13
МФТИ,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов
",6.7
МарГУ,True,,
МичГАУ,True,,
Московский Политех,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов

В студенческом городке Московского Политеха 10 общежитий.",6.36
НВГУ,True,,
НГАСУ,True,,
НГАУ,True,,
НГГТИ,False,,
НГЛУ им. Н.А. Добролюбова,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов",
НГМУ,True,,
НГПУ,True,,
НГПУ,True,,
НГПУ им. К. Минина,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов",
НГТУ НЭТИ,True,,
НГТУ им. Р.Е. Алексеева,True,,
НГУ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов
",6.74
НГУ им. П. Ф. Лесгафта,True,,
НГУАДИ,True,,
НГУЭУ,True,,
НИУ ВШЭ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов

В настоящее время у НИУ ВШЭ 9 общежитий на 7100 мест. Современные общежития квартирного типа для иногородних студентов находятся в г. Одинцово, Подмосковье. Общежития коридорного типа находятся в пределах Москвы.
Всем иногородним студентам, постоянно зарегистрированным далее 8 ж/д зоны от Москвы, Университет гарантирует место в общежитии. НИУ ВШЭ обеспечивает: возможность поселиться в общежитии любому студенту НИУ ВШЭ, который на время отказывался от него (проживал в другом месте), но пожелал снова жить в общежитии. При ухудшении материального положения (или по иной причине) любой студент, ранее отказавшийся от общежития (для проживания в другом месте), может обратиться с заявлением в Управление социальный сферы, после чего ему будет вновь предоставлено место в общежитии.
Все студенты ВШЭ смогут проходить в общежития в любое время — независимо от времени суток.
Во всех общежития проведен беспроводной интернет с доступностью в любое время суток.",7.5
НИУ ВШЭ НН,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов
",7.75
НИУ ВШЭ Пермь,True,,
НИУ ВШЭ СПБ,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов",
НИУ МГСУ,True,,
НИУ МЭИ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов

Студенческий городок включает в себя восемь студенческих общежитий и санаторий-профилакторий МЭИ. В шаговой доступности от общежитий Студенческого городка находятся дом культуры МЭИ, столовые, бассейн, стадион &quot;Энергия&quot;, учебные корпуса, научно-техническая библиотека.
Для удобного и комфортного проживания студентов, в общежитиях имеются комнаты для самостоятельных занятий, комнаты отдыха, спортивные и танцевальные залы, теннисные комнаты, гладильные комнаты, недорогие прачечные и ателье, кафе, комнаты студенческих советов и многое другое.
Большое внимание МЭИ уделяет безопасности проживания студентов в общежитиях студенческого городка. В рамках программы обеспечения безопасности во всех общежитиях студенческого городка установлены системы видеонаблюдения и введен пропускной режим, установлены турникеты.",5.32
НИУ РАНХиГС,True,"
Места для проживания предоставляются по адресу: г. Нижний Новгород, ул. Пушкина, д. 8 и д. 10. Станция метро – «Горьковская».
1) Общежитие коридорного типа по адресу г. Нижний Новгород, ул. Пушкина, д. 10.
Студенты живут по 3 человека в одной комнате. На каждом этаже предусмотрены: комфортная кухня, умывальные комнаты и туалетные комнаты. В цокольном этаже общежития находятся душевые комнаты, также есть постирочная комната, оборудованная стиральными машинами. Для комфортной, насыщенной и интересной жизни студентов в общежитии оборудованы рекреации: учебная, спортивная, игровая.
2) Общежитие гостиничного типа по адресу г. Нижний Новгород, ул. Пушкина, д. 8.
С 3 по 5 этаж – блочная система комнат.
В блоке – 2 комнаты, душ, туалет (студенты живут по 2 человека в одной комнате).
С 6 по 8 этаж – комнаты от 4 до 6 человек.
Комната оборудована совмещенным санузлом, который имеет ванну, биде, унитаз и раковину.
На каждом этаже расположена кухня, в этом же здании находится столовая. На цокольном этаже есть постирочная комната, оборудованная стиральными машинами.",
НИЯУ МИФИ,True,"
Вероятно, общежитие в этом вузе дают всем желающим
Информация выявлена путем опроса студентов
",8.83
НМИЦ им. В. А. Алмазова,True,,
ННГАСУ,True,,
ННГУ им. Лобачевского,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов",
Нижегородский ГАТУ,True,,
НовГУ,True,,
ОГАУ,True,,
ОГПУ,True,,
ОГУ,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов",
ОГУ им. И.С. Тургенева,True,,
ОГУЭТ,True,,
ОмГАУ им. П.А.Столыпина,False,,
ОмГМУ,True,,
ОмГПУ,True,,
ОмГТУ,True,,
ОмГУ им. Ф.М. Достоевского,True,"
Вероятно, общежитие в этом вузе дают не всем
Информация выявлена путем опроса студентов",
ОмГУПС,True,,
